C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0,005   0,0       16,314   0,0        1 CImpCEDL::Init(unsigned short *,unsigned short *,int) (downld.obj)
       0,004   0,0        0,004   0,0       21 CStation::IsSignalSet(enum CEDL_SIGNAL) (dlcsc.obj)
       0,004   0,0        0,338   0,0        6 CSubscriptionManager::GetSubscription(class CString const &,enum BL_IEC_TYP,class CSubscription * &) (subscription.obj)
       0,004   0,0        9,585   0,0        1 CStationList::BuildStationList(unsigned short *,class CProxyIDLEvents<class CImpCEDL> *,class CProxy_ICEMessageEvent<class CImpCEDL> *,bool) (dlstlist.obj)
       0,004   0,0        0,222   0,0       10 CConfRS::DoFieldExchange(class CDaoFieldExchange *) (dlrs.obj)
       0,004   0,0        1,928   0,0        1 CStationList::MarkStationsDelete(void) (dlstlist.obj)
       0,004   0,0        0,008   0,0        1 ATL::AtlModuleTerm(struct ATL::_ATL_MODULE *) (cedl.obj)
       0,004   0,0        0,012   0,0        3 CConfRS::~CConfRS(void) (dlrs.obj)
       0,003   0,0        0,038   0,0        2 CStation::GetSessionFileName(class CString &,char const *) (dlstat.obj)
       0,003   0,0        0,003   0,0       45 ATL::InlineIsEqualUnknown(struct _GUID const &) (cedl.obj)
       0,003   0,0       24,406   0,0        1 CCedlApp::InitInstance(void) (cedl.obj)
       0,003   0,0        0,023   0,0       29 ATL::CComObjectRootBase::InternalQueryInterface(void *,struct ATL::_ATL_INTMAP_ENTRY const *,struct _GUID const &,void * *) (cedl.obj)
       0,003   0,0        0,003   0,0        1 _$E373 (dllmodul.obj)
       0,003   0,0    72527,138  94,5        1 CImpCEDL::DownloadTarget(unsigned short *,unsigned short *,enum __MIDL___MIDL_itf_cedl_0000_0001,enum __MIDL___MIDL_itf_cedl_0000_0003) (downld.obj)
       0,003   0,0        0,003   0,0       28 CString::CString(class CString const &) (mfc42.dll)
       0,003   0,0        0,003   0,0       31 ATL::CComMultiThreadModel::Decrement(long *) (cedl.obj)
       0,003   0,0        0,005   0,0        2 _RawDllMain@12 (dllmodul.obj)
       0,003   0,0        0,003   0,0        3 ATL::CComAutoCriticalSection::CComAutoCriticalSection(void) (cedl.obj)
       0,003   0,0        0,003   0,0       31 ATL::CComMultiThreadModel::Increment(long *) (cedl.obj)
       0,003   0,0        0,005   0,0        4 CFileException::~CFileException(void) (dlext.obj)
       0,002   0,0        0,002   0,0        1 CString::Find(char const *) (mfc42.dll)
       0,002   0,0        2,951   0,0        1 CStation::DeleteMarkedDomains(void) (dldb.obj)
       0,002   0,0        0,002   0,0        1 CWinApp::~CWinApp(void) (mfc42.dll)
       0,002   0,0        0,387   0,0        1 CStationInfo::Subscribe(void) (dlstinfo.obj)
       0,002   0,0        0,002   0,0        3 ATL::CComAutoCriticalSection::~CComAutoCriticalSection(void) (cedl.obj)
       0,002   0,0        0,102   0,0        1 CStation::FireErrorMessage(long,char const *) (dlstfire.obj)
       0,002   0,0        4,388   0,0        1 CStationList::CheckDBVersion(void) (dlstlist.obj)
       0,002   0,0        0,002   0,0        1 AfxCoreInitModule(void) (mfc42.dll)
       0,002   0,0        0,168   0,0        2 CStation::ParseHeader(class CHeaderInfo &,class CCsvParse &) (dlstat.obj)
       0,002   0,0        0,054   0,0        6 CSubscription::Unreference(unsigned int) (subscription.obj)
       0,002   0,0        0,002   0,0        2 CFile::~CFile(void) (mfc42.dll)
       0,002   0,0        0,013   0,0       10 CImpTransferNotify::_InternalQueryInterface(struct _GUID const &,void * *) (dlstat.obj)
       0,002   0,0        0,005   0,0        4 ATL::IConnectionPointContainerImpl<class CImpCEDL>::FindConnectionPoint(struct _GUID const &,struct IConnectionPoint * *) (cedl.obj)
       0,002   0,0        0,002   0,0        5 AfxGetThreadState(void) (mfc42.dll)
       0,002   0,0        0,002   0,0       12 CArray<class CStation *,class CStation *>::GetSize(void) (dlstlist.obj)
       0,002   0,0        0,004   0,0       27 ATL::CComObjectRootEx<class ATL::CComMultiThreadModel>::InternalAddRef(void) (cedl.obj)
       0,002   0,0        0,003   0,0        4 CStation::IsRequestPending(void) (dlcsc.obj)
       0,002   0,0        0,004   0,0       27 ATL::CComObjectRootEx<class ATL::CComMultiThreadModel>::InternalRelease(void) (cedl.obj)
       0,002   0,0        0,002   0,0        3 ATL::CComDynamicUnkArray::Add(struct IUnknown *) (cedl.obj)
       0,002   0,0        0,015   0,0       10 ATL::CComObject<class CImpTransferNotify>::QueryInterface(struct _GUID const &,void * *) (dlstat.obj)
       0,002   0,0        1,706   0,0        1 CStation::UpdateConfigurations(class CHeaderInfo &,class CDaoDatabase *,class CString &) (dlstat.obj)
       0,002   0,0        0,335   0,0       12 CSubscription::DoSubscribing(void) (subscription.obj)
       0,002   0,0        3,014   0,0        1 CStation::OnEmptyDomainTable(void) (dlstat.obj)
       0,002   0,0        0,004   0,0        3 CStationList::FindStationByIndex(int,bool) (dlstlist.obj)
       0,002   0,0        5,875   0,0        1 CImpCEDL::Attach(struct IUnknown *) (downld.obj)
       0,002   0,0        0,409   0,0        1 CImpCEDL::Detach(void) (downld.obj)
       0,002   0,0        0,002   0,0        1 _$E375 (dllmodul.obj)
       0,002   0,0        0,008   0,0        6 CSubscription::~CSubscription(void) (subscription.obj)
       0,002   0,0        0,081   0,0        5 CRefObj::Release(void) (dlcsc.obj)
       0,001   0,0        1,075   0,0        1 CStation::FireStartDownload(void) (dlstfire.obj)
       0,001   0,0       24,466   0,0        2 _DllMain@12 (dllmodul.obj)
       0,001   0,0        0,005   0,0        2 CCsvExp::~CCsvExp(void) (csvexp.obj)
       0,001   0,0        1,126   0,0        1 CStationList::DeleteUnusedStations(void) (dlstlist.obj)
       0,001   0,0        0,001   0,0        1 AfxWinTerm(void) (mfc42.dll)
       0,001   0,0        0,001   0,0       20 CObject::~CObject(void) (dlext.obj)
       0,001   0,0        1,411   0,0        1 CStationInfo::Connect(void) (dlstinfo.obj)
       0,001   0,0        0,016   0,0       10 ATL::CComBSTR::CComBSTR(char const *) (dlstat.obj)
       0,001   0,0        0,001   0,0        1 AfxUnlockTempMaps(int) (mfc42.dll)
